host_is_superhost,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,price,review_scores_rating,reviews_per_month
0,1,Gowanus,Brooklyn,40.67828,-73.98414,Entire rental unit,Entire home/apt,3,1.5,1,100,4.67,0.07
0,1,Emerson Hill,Staten Island,40.60742,-74.14388000000001,Entire guest suite,Entire home/apt,3,1.0,1,76,5.0,0.03
0,2,Bensonhurst,Brooklyn,40.61943,-73.99231999999999,Entire rental unit,Entire home/apt,2,1.0,1,110,4.86,0.24
0,1,East Village,Manhattan,40.72419,-73.97922,Entire condominium (condo),Entire home/apt,2,1.0,1,99,4.56,2.12
0,1,Chelsea,Manhattan,40.7401,-74.00019,Entire rental unit,Entire home/apt,2,1.0,1,75,4.79,0.56
0,1,Lower East Side,Manhattan,40.71254,-73.98352,Entire rental unit,Entire home/apt,4,1.0,2,220,4.67,1.93
0,1,Prospect Heights,Brooklyn,40.673190000000005,-73.96804,Entire rental unit,Entire home/apt,2,1.0,1,150,4.81,0.48
0,1,Williamsburg,Brooklyn,40.71085,-73.96672,Entire rental unit,Entire home/apt,2,1.0,1,140,4.8,0.09
1,1,Shore Acres,Staten Island,40.61019,-74.06756999999999,Entire rental unit,Entire home/apt,3,1.0,1,75,4.54,0.77
1,2,Williamsburg,Brooklyn,40.71137,-73.9465,Entire rental unit,Entire home/apt,5,1.0,2,205,4.92,2.47
0,0,Upper West Side,Manhattan,40.78764,-73.97274,Entire rental unit,Entire home/apt,2,1.0,1,110,4.57,0.91
1,3,Bedford-Stuyvesant,Brooklyn,40.6805,-73.94885,Entire rental unit,Entire home/apt,4,1.0,2,80,4.59,2.13
1,1,Bedford-Stuyvesant,Brooklyn,40.68463,-73.92367,Entire rental unit,Entire home/apt,6,1.0,1,130,4.9,0.82
0,1,Bedford-Stuyvesant,Brooklyn,40.68098,-73.94023,Entire residential home,Entire home/apt,2,1.0,1,100,4.63,0.18
0,1,Bedford-Stuyvesant,Brooklyn,40.68985,-73.94974,Entire rental unit,Entire home/apt,3,1.0,1,99,4.67,0.37
